warehouse_code,tenant_code,part,sloc,bin,kitqty,grn_number,qoh,mfgdt,expdt,carton_code,uomqty,projectrefno,part_desc
NEL,QVS,DL841-Q,OK,LBQ/SB/B-5-21-5,0,3.21313E+11,5,,,3131LBQ1111057,EA/1.00,,TAS WANITA TEST730 PREMIUM IMPORT PINK
LPT,FHT,DL830-C,OK,LBQ/SB/B-4-9-3,0,3.21313E+11,3,,,3131LBQ1111037,EA/1.00,,DOMPET WANITA TEST729 CNK CARD HOLDER PREMIUM IMPORT BLATEST
LBQ,FHT,DL830-H,OK,LBQ/SB/B-5-9-4,0,3.21313E+11,3,,,3131LBQ1111032,EA/1.00,,DOMPET WANITA TEST739 CNK CARD HOLDER PREMIUM IMPORT GREEN
LQE,NUT,DL830-D,OK,LBQ/SB/B-4-9-3,0,3.21313E+11,2,,,3131LBQ1111037,EA/1.00,,DOMPET WANITA TEST729 CNK CARD HOLDER PREMIUM IMPORT CLAY
NEL,HOJ,DL830-CF,OK,LBQ/SB/B-4-9-3,0,3.21313E+11,3,,,3131LBQ1111037,EA/1.00,,DOMPET WANITA TEST729 CNK CARD HOLDER PREMIUM IMPORT BEIGE
TVCC,NUT,DL830-QS,OK,LBQ/SB/B-4-9-3,0,3.21313E+11,3,,,3131LBQ1111037,EA/1.00,,DOMPET WANITA TEST729 CNK CARD HOLDER PREMIUM IMPORT PRUNE
LBQ,SMN,DL716-N-OQ,OK,LBQ/SB/B-3-9-6,0,3.21313E+11,3,,,3131LBQ1111026,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET NAVY POLOS,M"
LPT,HUD,DL716-N-CSQ,OK,LBQ/SB/B-2-9-6,0,3.21313E+11,3,,,3131LBQ1111027,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET BROWN POLOS,M"
LBX,POE,DL716-N-PQ,OK,LBQ/SB/B-4-9-5,0,3.21313E+11,3,,,3131LBQ1111029,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET OLIVE POLOS,M"
TVC,GDP,DL716-N-CS,OK,LBQ/SB/B-2-9-6,0,3.21313E+11,3,,,3131LBQ1111027,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET BROWN,M"
LBX,SFF,DL716-N-O,OK,LBQ/SB/B-4-9-5,0,3.21313E+11,3,,,3131LBQ1111029,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET NAVY,M"
TVCC,NUT,DL716-N-N,OK,LBQ/SB/B-4-9-5,0,3.21313E+11,3,,,3131LBQ1111029,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET MAUVE,M"
LQE,POE,DL716-N-MQ,OK,LBQ/SB/B-4-9-5,0,3.21313E+11,3,,,3131LBQ1111029,EA/1.00,,"DOMPET TEST605 CNK MINI CROC EFFECT WRISTLET WALLET LILAC POLOS,M"
TVC,CQJ-B3,HT186-C,OK,LBQ/SB/B-2-22-5,0,3.21313E+11,3,,,3131LBQ1111973,EA/1.00,,TAS WANITA GS075 GU3SS BLATEST
LPT,GDP,HT186-Q,OK,LBQ/SB/B-2-22-5,0,3.21313E+11,3,,,3131LBQ1111973,EA/1.00,,TAS WANITA GS075 GU3SS PINK
LQE,HUD,HT186-H,OK,LBQ/SB/B-2-23-6,0,3.21315E+11,3,,,3131LBQ1112253,EA/1.00,,TAS WANITA GS075 GU3SS GOLD
LPT,HOJ,QC-aS-15,OK,LBQ/SB/B-2-25-2,0,3.21316E+11,99,,,3131LBQ1112233,EA/1.00,,PAPERBAG ZR BIRU DONKER
NEL,FHT,a395-C,OK,LBQ/SB/B-2-21-3,0,3.21313E+11,6,,,3131LBQ1111054,EA/1.00,,TAS WANITA Z284 ZR SLING BAG PREMIUM IMPORT BLATEST
TVCC,NUT,a395-N,OK,LBQ/SB/B-2-21-3,0,3.21313E+11,3,,,3131LBQ1111054,EA/1.00,,TAS WANITA Z284 ZR SLING BAG PREMIUM IMPORT MAROON
LQE,CQJ-B3,a395-N,OK,LBQ/SB/B-3-21-3,0,3.2131E+11,1,,,3131LBQ1111418,EA/1.00,,TAS WANITA Z284 ZR SLING BAG PREMIUM IMPORT MAROON
LBQ,GDP,a395-X,OK,LBQ/SB/B-2-21-3,0,3.21435E+11,1,,,3131LBQ1112485,EA/1.00,,TAS WANITA Z284 ZR SLING BAG PREMIUM IMPORT WHITE
TVC,HSJ,a395-X,OK,LBQ/SB/B-2-21-3,0,3.21313E+11,9,,,3131LBQ1111054,EA/1.00,,TAS WANITA Z284 ZR SLING BAG PREMIUM IMPORT WHITE
LBQ,SFF,DL855-C,OK,LBQ/SB/B-2-22-6,0,3.21313E+11,10,,,3131LBQ1111972,EA/1.00,,TAS WANITA TEST744 HANDLE BAG PREMIUM IMPORT BLATEST
LBX,HCZ,DL855-B,OK,LBQ/SB/B-5-22-6,0,3.21313E+11,10,,,3131LBQ1111970,EA/1.00,,TAS WANITA TEST744 HANDLE BAG PREMIUM IMPORT ARMY
LPT,MNC,a303-C,OK,LBQ/SB/B-5-21-6,0,3.21313E+11,10,,,3131LBQ1111050,EA/1.00,,TAS WANITA Z292 PREMIUM IMPORT BLATEST
LQE,QVS,DL859-C,OK,LBQ/SB/B-2-0-4,0,3.21324E+11,5,,,3131LBQ1111420,EA/1.00,,TAS WANITA TEST748 SLING BAG PREMIUM IMPORT BLATEST
LQE,QVS,DL859-CV,OK,LBQ/SB/B-2-0-4,0,3.21313E+11,5,,,3131LBQ1111066,EA/1.00,,TAS WANITA TEST748 SLING BAG PREMIUM IMPORT BURGUNDY
LBQ,GDP,DL859-EH,OK,LBQ/SB/B-2-0-4,0,3.21313E+11,5,,,3131LBQ1111066,EA/1.00,,TAS WANITA TEST748 SLING BAG PREMIUM IMPORT DARK GREEN
LQE,FML,DL859-CM,OK,LBQ/SB/B-5-22-6,0,3.21313E+11,5,,,3131LBQ1111970,EA/1.00,,TAS WANITA TEST748 SLING BAG PREMIUM IMPORT BLUE
NEL,HCZ,BME12-C,OK,LBQ/SB/B-5-24-5,0,3.21314E+11,5,,,3131LBQ1112222,EA/1.00,,TAS WANITA ALD01 PREMIUM IMPORT BLATEST
TVC,HUD,BME12-CF,OK,LBQ/SB/B-2-24-5,0,3.21314E+11,5,,,3131LBQ1111913,EA/1.00,,TAS WANITA ALD01 PREMIUM IMPORT BEIGE
LBX,HSJ,BME12-TQ,OK,LBQ/SB/B-4-24-4,0,3.21314E+11,5,,,3131LBQ1111800,EA/1.00,,TAS WANITA ALD01 PREMIUM IMPORT SNAKE PRINT
NEL,SFF,DL858-C,OK,LBQ/SB/B-5-21-5,0,3.21313E+11,5,,,3131LBQ1111057,EA/1.00,,TAS WANITA TEST747 SLING BAG PREMIUM IMPORT BLATEST
TVCC,HUD,DL858-L,OK,LBQ/SB/B-5-21-5,0,3.21313E+11,5,,,3131LBQ1111057,EA/1.00,,TAS WANITA TEST747 SLING BAG PREMIUM IMPORT KHAKI
NEL,NUT,DL858-S,OK,LBQ/SB/B-5-21-5,0,3.21313E+11,5,,,3131LBQ1111057,EA/1.00,,TAS WANITA TEST747 SLING BAG PREMIUM IMPORT RED
NEL,FML,DL866-C,OK,LBQ/SB/B-5-0-2,0,3.21313E+11,5,,,3131LBQ1111068,EA/1.00,,TAS WANITA TEST755 SLING BAG PREMIUM IMPORT BLATEST
LQE,QVS,DL866-Q,OK,LBQ/SB/B-5-0-2,0,3.21313E+11,5,,,3131LBQ1111068,EA/1.00,,TAS WANITA TEST755 SLING BAG PREMIUM IMPORT PINK
TVCC,HCZ,DL850-C,OK,LBQ/SB/B-2-21-5,0,3.21313E+11,5,,,3131LBQ1111058,EA/1.00,,TAS WANITA TEST749 SHOULDER BAG PREMIUM IMPORT BLATEST
TVC,FML,DL850-N,OK,LBQ/SB/B-2-21-5,0,3.21313E+11,5,,,3131LBQ1111058,EA/1.00,,TAS WANITA TEST749 SHOULDER BAG PREMIUM IMPORT MAROON
NEL,HCZ,DL850-X,OK,LBQ/SB/B-2-21-5,0,3.21313E+11,5,,,3131LBQ1111058,EA/1.00,,TAS WANITA TEST749 SHOULDER BAG PREMIUM IMPORT WHITE
LPT,HNV,DL850-L,OK,LBQ/SB/B-2-21-5,0,3.21313E+11,5,,,3131LBQ1111058,EA/1.00,,TAS WANITA TEST749 SHOULDER BAG PREMIUM IMPORT KHAKI
TVC,SFF,DL850-O,OK,LBQ/SB/B-2-21-5,0,3.21313E+11,5,,,3131LBQ1111058,EA/1.00,,TAS WANITA TEST749 SHOULDER BAG PREMIUM IMPORT NAVY
TVCC,QVS,HT197-C,OK,LBQ/SB/B-5-0-4,0,3.21313E+11,10,,,3131LBQ1111063,EA/1.00,,TAS WANITA GS086 PREMIUM IMPORT BLATEST
LQE,MNC,HT197-CM,OK,EaEL11149,0,3.21324E+11,1,,,3131LBQ1111433,EA/1.00,,TAS WANITA GS086 PREMIUM IMPORT BLUE
LPT,NUT,HT197-CM,OK,EaEL11149,0,3.21314E+11,1,,,3131LBQ1111911,EA/1.00,,TAS WANITA GS086 PREMIUM IMPORT BLUE
TVC,QVS,HT197-CM,OK,LBQ/SB/B-2-24-3,0,3.21314E+11,7,,,3131LBQ1111911,EA/1.00,,TAS WANITA GS086 PREMIUM IMPORT BLUE
LBQ,MNC,HT197-X,OK,LBQ/SB/B-4-24-4,0,3.21314E+11,10,,,3131LBQ1111914,EA/1.00,,TAS WANITA GS086 PREMIUM IMPORT WHITE
LPT,HOJ,HT197-Q,OK,LBQ/SB/B-2-24-3,0,3.21314E+11,10,,,3131LBQ1111911,EA/1.00,,TAS WANITA GS086 PREMIUM IMPORT PINK
LPT,FHT,HT199-Q,OK,LBQ/SB/B-5-21-2,0,3.21313E+11,5,,,3131LBQ1111051,EA/1.00,,TAS WANITA BATESTPATEST GS088 PREMIUM IMPORT BLATEST
LPT,FHT,HT199-C,OK,LBQ/SB/B-5-21-2,0,3.21313E+11,5,,,3131LBQ1111051,EA/1.00,,TAS WANITA BATESTPATEST GS088 PREMIUM IMPORT PINK
TVCC,HUD,HT199-D,OK,LBQ/SB/B-5-21-2,0,3.21313E+11,5,,,3131LBQ1111051,EA/1.00,,TAS WANITA BATESTPATEST GS088 PREMIUM IMPORT COFFEE
LBQ,SMN,DL865-C,OK,LBQ/SB/B-4-9-6,0,3.21313E+11,3,,,3131LBQ1111025,EA/1.00,,DOMPET WANITA TEST754 PREMIUM IMPORT BLATEST
LBX,QVS,DL865-CV,OK,LBQ/SB/B-4-9-5,0,3.21313E+11,3,,,3131LBQ1111029,EA/1.00,,DOMPET WANITA TEST754 PREMIUM IMPORT BURGUNDY
NEL,FML,DL865-CF,OK,LBQ/SB/B-3-9-6,0,3.21313E+11,2,,,3131LBQ1111026,EA/1.00,,DOMPET WANITA TEST754 PREMIUM IMPORT BEIGE
TVCC,FML,DL865-H,OK,LBQ/SB/B-4-9-6,0,3.21313E+11,3,,,3131LBQ1111025,EA/1.00,,DOMPET WANITA TEST754 PREMIUM IMPORT GREEN
LPT,SFF,DL865-CD,OK,LBQ/SB/B-4-9-5,0,3.21313E+11,3,,,3131LBQ1111029,EA/1.00,,DOMPET WANITA TEST754 PREMIUM IMPORT BRITEST
NEL,CQJ-B3,DL853-N,OK,LBQ/SB/B-5-23-2,0,3.21314E+11,2,,,3131LBQ1111917,EA/1.00,,TAS WANITA TEST742 PREMIUM IMPORT MAROON
LQE,SMN,DL853-C,OK,LBQ/SB/B-2-21-2,0,3.21313E+11,2,,,3131LBQ1111052,EA/1.00,,TAS WANITA TEST742 PREMIUM IMPORT BLATEST
NEL,HOJ,a302-C,OK,LBQ/SB/B-5-23-2,0,3.21314E+11,9,,,3131LBQ1111917,EA/1.00,,TAS WANITA Z291 SLINGBAG PREMIUM IMPORT BLATEST
LBX,NUT,a302-H,OK,LBQ/SB/B-2-23-2,0,3.21314E+11,5,,,3131LBQ1111918,EA/1.00,,TAS WANITA Z291 SLINGBAG PREMIUM IMPORT GREEN
TVCC,SMN,DL863-CD,OK,LBQ/SB/B-2-24-4,0,3.21314E+11,3,,,3131LBQ1111915,EA/1.00,,TAS WANITA TEST752 SLING BAG PREMIUM IMPORT BRITEST
LBX,HNV,DL863-O,OK,LBQ/SB/B-2-0-2,0,3.21313E+11,2,,,3131LBQ1111960,EA/1.00,,TAS WANITA TEST752 SLING BAG PREMIUM IMPORT NAVY
TVC,POE,DL863-H,OK,LBQ/SB/B-5-0-4,0,3.21313E+11,3,,,3131LBQ1111063,EA/1.00,,TAS WANITA TEST752 SLING BAG PREMIUM IMPORT GREEN
LQE,NUT,DL863-C,OK,LBQ/SB/B-2-0-2,0,3.21313E+11,3,,,3131LBQ1111960,EA/1.00,,TAS WANITA TEST752 SLING BAG PREMIUM IMPORT BLATEST
NEL,MNC,a301-DC,OK,LBQ/SB/B-2-22-6,0,3.21313E+11,10,,,3131LBQ1111972,EA/1.00,,TAS WANITA Z290 SLING BAG PREMIUM IMPORT CROCO BLATEST
TVCC,HCZ,a301-DX,OK,LBQ/SB/B-2-22-6,0,3.21313E+11,4,,,3131LBQ1111972,EA/1.00,,TAS WANITA Z290 SLING BAG PREMIUM IMPORT CROCO WHITE
LBX,POE,DL862-C,OK,LBQ/SB/B-3-8-2,0,3.21314E+11,2,,,3131LBQ1111920,EA/1.00,,DOMPET WANITA TEST751 MINI WALLET PREMIUM IMPORT BLATEST
TVCC,SFF,DL862-S,OK,LBQ/SB/B-2-8-2,0,3.21314E+11,2,,,3131LBQ1111931,EA/1.00,,DOMPET WANITA TEST751 MINI WALLET PREMIUM IMPORT RED
TVCC,SFF,DL862-X,OK,LBQ/SB/B-3-8-2,0,3.21314E+11,2,,,3131LBQ1111923,EA/1.00,,DOMPET WANITA TEST751 MINI WALLET PREMIUM IMPORT WHITE
NEL,GDP,DL862-Q,OK,LBQ/SB/B-4-8-2,0,3.21314E+11,2,,,3131LBQ1111922,EA/1.00,,DOMPET WANITA TEST751 MINI WALLET PREMIUM IMPORT PINK
NEL,GDP,HT101-C,OK,LBQ/SB/B-2-22-5,0,3.21313E+11,5,,,3131LBQ1111973,EA/1.00,,TAS WANITA GS090 SLING BAG PREMIUM IMPORT BLATEST
NEL,HUD,HT101-X,OK,LBQ/SB/B-2-22-5,0,3.21313E+11,5,,,3131LBQ1111973,EA/1.00,,TAS WANITA GS090 SLING BAG PREMIUM IMPORT WHITE
LQE,HOJ,DL856-C,OK,LBQ/SB/B-5-23-3,0,3.21313E+11,5,,,3131LBQ1111045,EA/1.00,,TAS WANITA TEST745 SLINGBAG PREMIUM IMPORT BLATEST
TVCC,HOJ,DL856-H,OK,LBQ/SB/B-5-23-3,0,3.21313E+11,5,,,3131LBQ1111045,EA/1.00,,TAS WANITA TEST745 SLINGBAG PREMIUM IMPORT GREEN
LPT,HSJ,DL856-CS,OK,LBQ/SB/B-5-23-3,0,3.21313E+11,5,,,3131LBQ1111045,EA/1.00,,TAS WANITA TEST745 SLINGBAG PREMIUM IMPORT BROWN
LQE,FML,DL864-Q,OK,LBQ/SB/B-5-9-3,0,3.21313E+11,3,,,3131LBQ1111036,EA/1.00,,DOMPET WANITA TEST753 PREMIUM IMPORT PINK
LPT,GDP,DL864-D,OK,LBQ/SB/B-5-9-3,0,3.21313E+11,3,,,3131LBQ1111036,EA/1.00,,DOMPET WANITA TEST753 PREMIUM IMPORT CAMEL
NEL,HUD,DL864-H,OK,LBQ/SB/B-5-9-3,0,3.21313E+11,3,,,3131LBQ1111036,EA/1.00,,DOMPET WANITA TEST753 PREMIUM IMPORT GREEN
TVC,HOJ,DL864-P,OK,LBQ/SB/B-2-9-5,0,3.21313E+11,3,,,3131LBQ1111031,EA/1.00,,DOMPET WANITA TEST753 PREMIUM IMPORT ORANGE
TVCC,HNV,DL864-C,OK,LBQ/SB/B-2-9-5,0,3.21313E+11,3,,,3131LBQ1111031,EA/1.00,,DOMPET WANITA TEST753 PREMIUM IMPORT BLATEST
TVCC,GDP,QES197-C,OK,LBQ/SB/B-5-0-6,0,3.21313E+11,10,,,3131LBQ1111062,EA/1.00,,TAS WANITA TEST086 PREMIUM IMPORT BLATEST
TVCC,SMN,QES197-HZ,OK,LBQ/SB/B-5-21-6,0,3.21313E+11,10,,,3131LBQ1111050,EA/1.00,,TAS WANITA TEST086 PREMIUM IMPORT GREY
TVCC,HCZ,QES197-N,OK,LBQ/SB/B-2-24-2,0,3.21314E+11,10,,,3131LBQ1111916,EA/1.00,,TAS WANITA TEST086 PREMIUM IMPORT MAROON
LBX,GDP,DL867-C,OK,LBQ/SB/B-5-22-4,0,3.21424E+11,3,,,3131LBQ1112837,EA/1.00,,TAS WANITA TEST756 SLING BAG PREMIUM IMPORT BLATEST
TVCC,NUT,DL867-QS,OK,LBQ/SB/B-5-22-4,0,3.21313E+11,3,,,3131LBQ1111978,EA/1.00,,TAS WANITA TEST756 SLING BAG PREMIUM IMPORT PRUNE
TVC,FHT,DL867-CD,OK,LBQ/SB/B-5-22-4,0,3.21313E+11,3,,,3131LBQ1111978,EA/1.00,,TAS WANITA TEST756 SLING BAG PREMIUM IMPORT BRITEST
LBX,MNC,DL867-H,OK,LBQ/SB/B-5-23-3,0,3.2131E+11,3,,,3131LBQ1111419,EA/1.00,,TAS WANITA TEST756 SLING BAG PREMIUM IMPORT GREEN
LQE,FHT,DL867-B,OK,LBQ/SB/B-5-22-4,0,3.21313E+11,3,,,3131LBQ1111978,EA/1.00,,TAS WANITA TEST756 SLING BAG PREMIUM IMPORT APRICOT
NEL,HUD,HT190-S,OK,LBQ/SB/B-2-0-2,0,3.21313E+11,5,,,3131LBQ1111960,EA/1.00,,TAS WANITA GS089 SHOULDER BAG PREMIUM IMPORT RED
LBX,SMN,HT190-C,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,4,,,3131LBQ1111061,EA/1.00,,TAS WANITA GS089 SHOULDER BAG PREMIUM IMPORT BLATEST
TVC,SFF,HT190-Q,OK,LBQ/SB/B-2-0-6,0,3.21313E+11,5,,,3131LBQ1111061,EA/1.00,,TAS WANITA GS089 SHOULDER BAG PREMIUM IMPORT PINK
LQE,GDP,HT195-C,OK,LBQ/SB/B-2-26-5,0,3.21334E+11,10,,,3132LBQ1113399,EA/1.00,,TAS WANITA GS084 PREMIUM IMPORT BLATEST
NEL,GDP,HT195-D,OK,LBQ/SB/B-2-26-5,0,3.21334E+11,5,,,3132LBQ1113399,EA/1.00,,TAS WANITA GS084 PREMIUM IMPORT CORAL
TVCC,HSJ,HT195-X,OK,LBQ/SB/B-2-26-5,0,3.21334E+11,5,,,3132LBQ1113390,EA/1.00,,TAS WANITA GS084 PREMIUM IMPORT WHITE
NEL,HNV,HT195-H,OK,LBQ/SB/B-4-26-3,0,3.21334E+11,5,,,3132LBQ1113393,EA/1.00,,TAS WANITA GS084 PREMIUM IMPORT GREEN
LBQ,HCZ,HT195-T,OK,LBQ/SB/B-4-26-3,0,3.21334E+11,5,,,3132LBQ1113393,EA/1.00,,TAS WANITA GS084 PREMIUM IMPORT SILVER
LBQ,CQJ-B3,DL546-CO,OK,LBQ/SB/B-4-26-6,0,3.21334E+11,5,,,3132LBQ1113375,EA/1.00,,TAS TEST435 CNK CHAIN CROSSBODY BAG BLATEST NEW
LBX,FML,DL546-CO,OK,LBQ/SB/B-4-27-5,0,3.21334E+11,5,,,3132LBQ1113343,EA/1.00,,TAS TEST435 CNK CHAIN CROSSBODY BAG BLATEST NEW
TVC,HNV,DL546-CF,OK,LBQ/SB/B-4-27-5,0,3.21334E+11,5,,,3132LBQ1113343,EA/1.00,,TAS TEST435 CNK CHAIN CROSSBODY BAG BEIGE
NEL,SFF,DL546-CD,OK,LBQ/SB/B-4-26-6,0,3.21334E+11,5,,,3132LBQ1113375,EA/1.00,,TAS TEST435 CNK CHAIN CROSSBODY BAG BRITEST
LPT,SMN,QES152-DC,OK,LBQ/SB/B-2-22-2,0,3.21313E+11,10,,,3131LBQ1111974,EA/1.00,,TAS TEST041 ( Sling New ) CROCO BLATEST
LQE,FHT,QES152-C,OK,LBQ/SB/B-4-25-6,0,3.21334E+11,5,,,3132LBQ1113377,EA/1.00,,TAS TEST041 ( Sling New ) BLATEST
TVC,FHT,DL304-CF,OK,LBQ/SB/B-2-8-6,0,3.21334E+11,2,,,3132LBQ1113348,EA/1.00,,DOMPET TEST293 C&amp
TVCC,HSJ,DL304-CM,OK,LBQ/SB/B-2-8-6,0,3.21334E+11,2,,,3132LBQ1113348,EA/1.00,,DOMPET TEST293 C&amp
LQE,SMN,DL304-CM,OK,LBQ/SB/D-5-28-4,0,3.21334E+11,3,,,3131LBQ1112061,EA/1.00,,DOMPET TEST293 C&amp
LPT,QVS,DL304-N,OK,LBQ/SB/D-3-28-3,0,3.21334E+11,2,,,3131LBQ1112062,EA/1.00,,DOMPET TEST293 C&amp
